duration_ms_pop,tempo_pop,speechiness_pop,duration_ms_unpop,tempo_unpop,speechiness_unpop
207320.0,106.96600000000001,0.0658,209640,120.041,0.505
201661.0,136.041,0.0705,207733,120.041,0.0903
241107.0,150.27700000000002,0.0386,194000,119.94200000000001,0.0426
312820.0,155.00799999999998,0.222,169573,111.805,0.0346
158040.0,89.911,0.0466,336453,189.507,0.0316
190947.0,82.014,0.0618,193200,103.31299999999999,0.0262
214290.0,100.015,0.0452,348240,117.25200000000001,0.0355
130973.0,119.705,0.0363,187027,83.09299999999999,0.0304
126267.0,67.196,0.0502,180088,119.868,0.0405
133093.0,140.57299999999998,0.0299,168387,123.935,0.0415
192160.0,78.696,0.0341,225827,85.01100000000001,0.0336
145543.0,112.51100000000001,0.292,223299,88.956,0.166
151933.0,202.082,0.037000000000000005,249500,100.02,0.0617
235545.0,124.959,0.0505,230440,81.90100000000001,0.0315
228760.0,98.04299999999999,0.17600000000000002,213427,106.01,0.10400000000000001
135760.0,136.471,0.0332,215013,134.00799999999998,0.0286
183907.0,146.034,0.0315,190067,102.861,0.0448
204665.0,143.01,0.0485,215813,199.835,0.0353
205427.0,100.541,0.046,214533,113.979,0.0314
155453.0,142.157,0.0595,218920,120.125,0.0388
173800.0,89.391,0.321,96000,149.936,0.0338
198160.0,100.04899999999999,0.0433,229400,141.284,0.0355
231267.0,145.028,0.0454,252227,119.875,0.0304
203418.0,120.274,0.46299999999999997,221013,90.09,0.516
267160.0,106.85600000000001,0.0282,217907,120.012,0.0404
181267.0,91.735,0.0288,200680,111.016,0.11800000000000001
239836.0,83.90299999999999,0.2,201549,74.473,0.0395
182067.0,148.82,0.0383,206320,115.02600000000001,0.0431
212500.0,95.881,0.228,260797,180.00599999999997,0.0486
210368.0,97.06200000000001,0.0621,231268,116.059,0.0549
145587.0,134.033,0.0618,171040,78.086,0.0645
195637.0,150.024,0.0851,230227,142.605,0.0532
177480.0,130.503,0.0381,217773,179.468,0.0286
206347.0,93.26899999999999,0.0331,193377,114.03299999999999,0.036000000000000004
180522.0,86.00299999999999,0.0905,217400,100.00200000000001,0.028999999999999998
288624.0,145.972,0.086,123560,139.952,0.0816
213993.0,79.882,0.14400000000000002,178427,169.99400000000003,0.157
253390.0,136.048,0.129,238800,140.107,0.0358
129173.0,94.51899999999999,0.0425,196077,82.64200000000001,0.0972
213387.0,135.929,0.0298,201813,103.95,0.0357
213880.0,146.539,0.0315,274493,143.868,0.0549
153240.0,127.16,0.0311,201200,105.027,0.374
229640.0,159.876,0.0537,261154,135.007,0.0989
165733.0,152.27700000000002,0.0832,184344,95.95700000000001,0.0375
189467.0,100.0,0.0409,281147,91.009,0.0527
149547.0,99.96,0.20800000000000002,180400,84.865,0.0422
201707.0,143.955,0.0449,274587,122.32,0.0301
122160.0,87.243,0.0353,205307,167.662,0.0507
197867.0,92.977,0.187,165000,127.962,0.0862
215733.0,95.79899999999999,0.0308,223387,92.321,0.0474
182521.0,137.494,0.128,254773,179.924,0.0977
183160.0,150.99,0.0406,207173,171.937,0.158
194184.0,99.075,0.212,174307,96.956,0.0313
189487.0,93.023,0.303,205280,129.911,0.0444
205352.0,131.982,0.359,212176,169.019,0.0567
211467.0,85.04299999999999,0.059000000000000004,198227,150.047,0.188
182623.0,144.111,0.0621,300973,78.99600000000001,0.39
195053.0,156.05100000000002,0.0334,173987,103.99,0.0516
169999.0,130.032,0.311,236216,128.028,0.0674
196373.0,126.684,0.0362,281827,76.97,0.0311
211768.0,176.024,0.0554,250080,159.996,0.0399
192779.0,191.97099999999998,0.133,198187,143.56,0.0933
179449.0,96.057,0.0413,261240,174.15200000000002,0.0454
172787.0,90.03200000000001,0.0334,210053,124.021,0.0851
194088.0,135.128,0.375,186973,202.10299999999998,0.11599999999999999
